user_id,first_name,last_name,username,email,phone
1,Arsipatra,Nuraini,arsipatranuraini,arsipatranuraini@hotmail.com,(068) 911-3755
2,Erik,Maheswara,erikmaheswara,erikmaheswara@yahoo.com,+62 (067) 637 4069
3,Maida,Rajata,maidarajata,maidarajata@gmail.com,+62 (70) 249 5828
4,Wira,Astuti,wiraastuti,wiraastuti@gmail.com,+62-574-743-3952
5,Zamira,Wibowo,zamirawibowo,zamirawibowo@yahoo.com,085 054 5065
6,Nardi,Hidayanto,nardihidayanto,nardihidayanto@yahoo.com,(0667) 586 3598
7,Jagaraga,Kuswoyo,jagaragakuswoyo,jagaragakuswoyo@yahoo.com,+62 (009) 623 1208
8,Caturangga,Sihotang,caturanggasihotang,caturanggasihotang@gmail.com,+62-002-173-8963
9,Hamima,Palastri,hamimapalastri,hamimapalastri@yahoo.com,0873075431
10,Rahmat,Rahmawati,rahmatrahmawati,rahmatrahmawati@yahoo.com,+62 (977) 644 2949
11,Yuni,Setiawan,yunisetiawan,yunisetiawan@hotmail.com,+62 (86) 782-5703
12,Kardi,Wijayanti,kardiwijayanti,kardiwijayanti@hotmail.com,+62 (029) 428 7521
13,Titin,Saragih,titinsaragih,titinsaragih@yahoo.com,0871634227
14,Vicky,Anggriawan,vickyanggriawan,vickyanggriawan@gmail.com,(098) 095 5157
15,Tomi,Mayasari,tomimayasari,tomimayasari@gmail.com,+62 (0316) 681 8312
16,Dasa,Novitasari,dasanovitasari,dasanovitasari@gmail.com,+62-087-000-2389
17,Putu,Winarno,putuwinarno,putuwinarno@yahoo.com,+62-018-045-7675
18,Rendy,Siregar,rendysiregar,rendysiregar@gmail.com,(056) 635-4498
19,Vicky,Situmorang,vickysitumorang,vickysitumorang@yahoo.com,+62 (86) 959 4724
20,Okta,Sitorus,oktasitorus,oktasitorus@hotmail.com,+62 (247) 024-3755
21,Rahmat,Kusumo,rahmatkusumo,rahmatkusumo@hotmail.com,+62 (049) 083-7696
22,Nugraha,Mulyani,nugrahamulyani,nugrahamulyani@gmail.com,(0696) 692-0324
23,Hana,Rahayu,hanarahayu,hanarahayu@yahoo.com,+62 (88) 784-1761
24,Sarah,Purnawati,sarahpurnawati,sarahpurnawati@gmail.com,+62-039-343-3471
25,Rafid,Sihombing,rafidsihombing,rafidsihombing@yahoo.com,0832769089
26,Hasta,Dongoran,hastadongoran,hastadongoran@gmail.com,+62 (55) 230 2930
27,Radika,Nasyiah,radikanasyiah,radikanasyiah@gmail.com,083 480 8608
28,Arta,Maryati,artamaryati,artamaryati@hotmail.com,(018) 020 9691
29,Artawan,Hutasoit,artawanhutasoit,artawanhutasoit@hotmail.com,+62 (098) 642 4502
30,Nalar,Suryono,nalarsuryono,nalarsuryono@hotmail.com,086 494 2760
31,Cakrajiya,Januar,cakrajiyajanuar,cakrajiyajanuar@hotmail.com,+62 (0407) 062 3621
32,Yusuf,Wasita,yusufwasita,yusufwasita@gmail.com,(0949) 004 6636
33,Vega,Zulaika,vegazulaika,vegazulaika@yahoo.com,+62-002-079-9801
34,Widya,Putra,widyaputra,widyaputra@yahoo.com,+62 (056) 253 4921
35,Wage,Puspasari,wagepuspasari,wagepuspasari@yahoo.com,+62 (473) 747 6803
36,Rahmat,Padmasari,rahmatpadmasari,rahmatpadmasari@yahoo.com,(0431) 423 2653
37,Reza,Salahudin,rezasalahudin,rezasalahudin@yahoo.com,(0033) 833 9442
38,Nurul,Wibowo,nurulwibowo,nurulwibowo@hotmail.com,0805698838
39,Vera,Lailasari,veralailasari,veralailasari@hotmail.com,(0828) 943-1689
40,Mumpuni,Megantara,mumpunimegantara,mumpunimegantara@gmail.com,+62-013-293-9836
41,Dwi,Susanti,dwisusanti,dwisusanti@hotmail.com,+62-71-368-0059
42,Maya,Permadi,mayapermadi,mayapermadi@yahoo.com,+62 (911) 560-8304
43,Galur,Kusmawati,galurkusmawati,galurkusmawati@gmail.com,(013) 054 6800
44,Sadina,Utama,sadinautama,sadinautama@hotmail.com,(0595) 518-2737
45,Nurul,Aryani,nurularyani,nurularyani@yahoo.com,+62 (12) 510 6803
46,Cindy,Napitupulu,cindynapitupulu,cindynapitupulu@yahoo.com,+62-0474-288-7659
47,Ibrani,Setiawan,ibranisetiawan,ibranisetiawan@yahoo.com,+62 (115) 294-4846
48,Candra,Siregar,candrasiregar,candrasiregar@yahoo.com,+62-0439-252-5102
49,Bahuwirya,Ardianto,bahuwiryaardianto,bahuwiryaardianto@yahoo.com,+62-397-288-0892
50,Jessica,Handayani,jessicahandayani,jessicahandayani@hotmail.com,+62-798-752-6323
51,Radit,Pratama,raditpratama,raditpratama@yahoo.com,+62 (40) 938 0584
52,Baktiadi,Prasasta,baktiadiprasasta,baktiadiprasasta@gmail.com,0817177514
53,Dina,Yulianti,dinayulianti,dinayulianti@yahoo.com,+62 (926) 323-5566
54,Ikin,Nuraini,ikinnuraini,ikinnuraini@gmail.com,+62-006-894-9216
55,Gasti,Andriani,gastiandriani,gastiandriani@gmail.com,(0050) 634 9091
56,Melinda,Hutasoit,melindahutasoit,melindahutasoit@yahoo.com,(053) 639-5886
